"Test","Batch","Maquina","Usuario","Descripcion","Accion","Elemento","Valor","Tiempo (ms)","Tiempo (s)","Tiempo (min)","Estado","Error Type","Error Message","Origen Error","Archivo Origen"
"Reclamaciones - Creacion de caso de reclamacion 62","batch62","ANKCRM38M","sergio.anaya","Given el actor tiene un navegador disponible","Ejecuta","Given el actor tiene un navegador disponible","N/A","3","0,00","0","SUCCESS","","","","step_details_20260624_145546.xlsx"
"Reclamaciones - Creacion de caso de reclamacion 62","batch62","ANKCRM38M","sergio.anaya","When abre la pagina de casos","Ejecuta","When abre la pagina de casos","N/A","4339","4,34","0,072","SUCCESS","","","","step_details_20260624_145546.xlsx"
"Reclamaciones - Creacion de caso de reclamacion 62","batch62","ANKCRM38M","sergio.anaya","Abre la pagina de casos","Otra","N/A","N/A","3915","3,92","0,065","SUCCESS","","","","step_details_20260624_145546.xlsx"
"Reclamaciones - Creacion de caso de reclamacion 62","batch62","ANKCRM38M","sergio.anaya","Sara opens the browser at https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","Abre","https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","N/A","3880","3,88","0,065","SUCCESS","","","","step_details_20260624_145546.xlsx"
"Reclamaciones - Creacion de caso de reclamacion 62","batch62","ANKCRM38M","sergio.anaya","And realiza login con credenciales","Ejecuta","And realiza login con credenciales","N/A","9388","9,39","0,156","SUCCESS","","","","step_details_20260624_145546.xlsx"
"Reclamaciones - Creacion de caso de reclamacion 62","batch62","ANKCRM38M","sergio.anaya","Login con Cognito usando credenciales","Ejecuta","Login con Cognito usando credenciales","N/A","9347","9,35","0,156","SUCCESS","","","","step_details_20260624_145546.xlsx"
"Reclamaciones - Creacion de caso de reclamacion 62","batch62","ANKCRM38M","sergio.anaya","Sara opens the browser at https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","Abre","https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth","N/A","833","0,83","0,014","SUCCESS","","","","step_details_20260624_145546.xlsx"
"Reclamaciones - Creacion de caso de reclamacion 62","batch62","ANKCRM38M","sergio.anaya","Sara enters 'pruebas32' into Campo de usuario de Cognito","Escribe","Campo de usuario de Cognito","pruebas32","452","0,45","0,008","SUCCESS","","","","step_details_20260624_145546.xlsx"
"Reclamaciones - Creacion de caso de reclamacion 62","batch62","ANKCRM38M","sergio.anaya","Sara clicks on BotÃ³n siguiente de Cognito","Click/Selecciona","BotÃ³n siguiente de Cognito","N/A","523","0,52","0,009","SUCCESS","","","","step_details_20260624_145546.xlsx"
"Reclamaciones - Creacion de caso de reclamacion 62","batch62","ANKCRM38M","sergio.anaya","Sara enters 'Zn7$D1mS9#' into Campo de contraseÃ±a de Cognito","Escribe","Campo de contraseÃ±a de Cognito","Zn7$D1mS9#","676","0,68","0,011","SUCCESS","","","","step_details_20260624_145546.xlsx"
