"MÃ¡quina","Usuario","Total Tests","Tests Exitosos","Tests Fallidos","Tasa Ã‰xito %","Tiempo Promedio Paso (min)"
"PORTFLEX25M","angela.perez.z","77","61","16","79,22","0,318"
"COMEKSF006","jose.perez.fl","50","36","14","72","0,606"
"JUANCARDONA","juanx","50","44","6","88","0,367"
"COMEPORTKSF32","jessica.diaz","50","46","4","92","0,384"
"COMEPORTKSF08","melanie.agualimpia","50","47","3","94","0,414"
"ANKCRM38M","sergio.anaya","50","47","3","94","0,356"
"PORTFLEX27M","jonathan.valencia.f","50","47","3","94","0,351"
"SERGIOANAYA","Sergio","50","49","1","98","0,27"
"COMEKSF028","yoarlys.carillo","50","49","1","98","0,235"
"NAYE","Dey","50","50","0","100","0,312"
"COMEKSF032","joel.rodriguez","50","50","0","100","0,331"
"COMEKSF040","emmanuel.tabares","50","50","0","100","0,251"
"COMEPORTKSF19","maycol.sanchez","50","50","0","100","0"
