"Usuario","Total Tests","Tests Exitosos","Tests Fallidos","Tasa Exito %","Tiempo Promedio Paso (min)","Maquinas Usadas","Pasos Lentos"
"angela.perez.z","77","61","16","79,22","0,318","1","1216"
"jose.perez.fl","50","36","14","72","0,606","1","473"
"juanx","50","44","6","88","0,367","1","1902"
"jessica.diaz","50","46","4","92","0,384","1","990"
"melanie.agualimpia","50","47","3","94","0,414","1","928"
"sergio.anaya","50","47","3","94","0,356","1","957"
"jonathan.valencia.f","50","47","3","94","0,351","1","948"
"Sergio","50","49","1","98","0,27","1","829"
"yoarlys.carillo","50","49","1","98","0,235","1","851"
"Dey","50","50","0","100","0,312","1","885"
"joel.rodriguez","50","50","0","100","0,331","1","860"
"emmanuel.tabares","50","50","0","100","0,251","1","821"
"maycol.sanchez","50","50","0","100","0","1","0"
