"Test","Batch","Maquina","Usuario","Total Pasos","Pasos Lentos","Tiempo Promedio Paso (min)","Estado","Error Type","Error Message"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","COMEKSF040","emmanuel.tabares","43","16","0,245","PASSED","",""
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","COMEKSF040","emmanuel.tabares","43","16","0,244","PASSED","",""
"Test Usuario 07 - NORTE DE SANTANDER - CUCUTA - AUTOS - CAMBIO LLANTAS","batch7","COMEKSF040","emmanuel.tabares","43","19","0,287","PASSED","",""
"Test Usuario 25 - AMAZONAS - ARARA - AUTOS - MANTENIMIENTO PREVENTIVO","batch25","COMEKSF040","emmanuel.tabares","43","16","0,242","PASSED","",""
"Test Usuario 35 - BOLIVAR - TURBACO - HOGARES - ORIENTACION DIGITAL","batch35","COMEKSF040","emmanuel.tabares","43","16","0,243","PASSED","",""
"Test Usuario 24 - VAUPÃ‰S - MITÃš - AUTOS - INSTALACION","batch24","COMEKSF040","emmanuel.tabares","43","16","0,246","PASSED","",""
"Test Usuario 06 - SANTANDER - BUCARAMANGA - AUTOS - GRUA","batch6","COMEKSF040","emmanuel.tabares","43","19","0,287","PASSED","",""
"Test Usuario 36 - NARIÃ‘O - IPIALES - HOGARES - FACILITADOR VIRTUAL","batch36","COMEKSF040","emmanuel.tabares","43","16","0,244","PASSED","",""
"Test Usuario 44 - ATLANTICO - AGUADA DE PABLO - HOGARES - SEGUIMIENTO A LA REPARACION","batch44","COMEKSF040","emmanuel.tabares","43","16","0,239","PASSED","",""
"Test Usuario 50 - NARIÃ‘O - IPIALES - HOGARES - PLAN DE ACCION","batch50","COMEKSF040","emmanuel.tabares","40","13","0,287","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=No fue posible esperar el siguiente estado con until; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 28 - ANTIOQUIA - ENVIGADO - HOGARES - ELECTRICISTA","batch28","COMEKSF040","emmanuel.tabares","43","16","0,244","PASSED","",""
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","COMEKSF040","emmanuel.tabares","43","16","0,242","PASSED","",""
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","COMEKSF040","emmanuel.tabares","43","16","0,249","PASSED","",""
"Test Usuario 14 - TOLIMA - IBAGUE - AUTOS - CONDUCTOR FAMILIAR","batch14","COMEKSF040","emmanuel.tabares","43","16","0,248","PASSED","",""
"Test Usuario 01 - ANTIOQUIA - MEDELLIN - AUTOS - PASO DE GASOLINA","batch1","COMEKSF040","emmanuel.tabares","43","19","0,282","PASSED","",""
"Test Usuario 03 - VALLE DEL CAUCA - BAJO CALIMA - AUTOS - MECANICA BASICA","batch3","COMEKSF040","emmanuel.tabares","43","19","0,287","PASSED","",""
"Test Usuario 32 - SANTANORTE DE SANTANDER  - ARBOLEDAS - HOGARES - RETIRO DE ESCOMBROS","batch32","COMEKSF040","emmanuel.tabares","43","16","0,242","PASSED","",""
"Test Usuario 26 - PUTUMAYO - MOCOA - HOGARES - ATENCION VIRTUAL HOGAR","batch26","COMEKSF040","emmanuel.tabares","43","16","0,244","PASSED","",""
"Test Usuario 47 - NORTE DE SANTANDER - OCAÃ‘A - HOGARES - CONSEJERIA FAMILIAR VIRTUAL O TELEFONICO","batch47","COMEKSF040","emmanuel.tabares","43","16","0,243","PASSED","",""
"Test Usuario 13 - RISARALDA - PEREIRA - AUTOS - CONDUCTOR PROFESIONAL","batch13","COMEKSF040","emmanuel.tabares","43","16","0,25","PASSED","",""
