"Test","Batch","Maquina","Usuario","Total Pasos","Pasos Lentos","Tiempo Promedio Paso (min)","Estado","Error Type","Error Message","Origen Error"
"Reclamaciones - Creacion de caso de reclamacion 62","batch62","ANKCRM38M","sergio.anaya","21","8","0,154","PASSED","","",""
"Test Usuario 07 - NORTE DE SANTANDER - CUCUTA - AUTOS - CAMBIO LLANTAS","batch7","ANKCRM38M","sergio.anaya","53","24","0,217","PASSED","","",""
"Test Usuario 25 - AMAZONAS - ARARA - AUTOS - MANTENIMIENTO PREVENTIVO","batch25","ANKCRM38M","sergio.anaya","53","24","0,213","PASSED","","",""
"Test Usuario 35 - BOLIVAR - TURBACO - HOGARES - ORIENTACION DIGITAL","batch35","ANKCRM38M","sergio.anaya","53","25","0,214","PASSED","","",""
"Reclamaciones - Creacion de caso de reclamacion 70","batch70","ANKCRM38M","sergio.anaya","21","8","0,151","PASSED","","",""
"Reclamaciones - Creacion de caso de reclamacion 65","batch65","ANKCRM38M","sergio.anaya","21","8","0,158","PASSED","","",""
"Reclamaciones - Creacion de caso de reclamacion 63","batch63","ANKCRM38M","sergio.anaya","21","9","0,159","PASSED","","",""
"Test Usuario 36 - NARIÃ‘O - IPIALES - HOGARES - FACILITADOR VIRTUAL","batch36","ANKCRM38M","sergio.anaya","53","26","0,212","PASSED","","",""
"Reclamaciones - Creacion de caso de reclamacion 68","batch68","ANKCRM38M","sergio.anaya","21","8","0,153","PASSED","","",""
"Reclamaciones - Creacion de caso de reclamacion 51","batch51","ANKCRM38M","sergio.anaya","21","12","0,222","PASSED","","",""
"Test Usuario 50 - NARIÃ‘O - IPIALES - HOGARES - PLAN DE ACCION","batch50","ANKCRM38M","sergio.anaya","53","24","0,211","PASSED","","",""
"Reclamaciones - Creacion de caso de reclamacion 58","batch58","ANKCRM38M","sergio.anaya","21","8","0,161","PASSED","","",""
"Reclamaciones - Creacion de caso de reclamacion 69","batch69","ANKCRM38M","sergio.anaya","21","8","0,152","PASSED","","",""
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","ANKCRM38M","sergio.anaya","26","7","0,157","FAILED","Otros","[java.lang.RuntimeException] No se pudo seleccionar 'ZIPAQUIRA' en formio-component-municipio_solicita tras 4 intentos","FillCasoExpressFormInOrder.java:290"
"Test Usuario 01 - ANTIOQUIA - MEDELLIN - AUTOS - PASO DE GASOLINA","batch1","ANKCRM38M","sergio.anaya","53","28","0,248","PASSED","","",""
"Reclamaciones - Creacion de caso de reclamacion 74","batch74","ANKCRM38M","sergio.anaya","21","8","0,174","PASSED","","",""
"Test Usuario 03 - VALLE DEL CAUCA - BAJO CALIMA - AUTOS - MECANICA BASICA","batch3","ANKCRM38M","sergio.anaya","53","28","0,244","PASSED","","",""
"Reclamaciones - Creacion de caso de reclamacion 59","batch59","ANKCRM38M","sergio.anaya","21","8","0,158","PASSED","","",""
"Test Usuario 47 - NORTE DE SANTANDER - OCAÃ‘A - HOGARES - CONSEJERIA FAMILIAR VIRTUAL O TELEFONICO","batch47","ANKCRM38M","sergio.anaya","19","2","0,053","PASSED","Validacion","[java.lang.AssertionError] Login NO completado: la app no quedÃ³ autenticada/cargada tras enviar las credenciales (credenciales invÃ¡lidas, error de Cognito o redirecciÃ³n OAuth incompleta). URL actual: https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/verifyPassword?client_id=2hfo5293cfbh1h9fbe9m7g07dn&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth&response_type=code&scope=email+openid+profile","LoginWithCognito.java:104"
"Test Usuario 13 - RISARALDA - PEREIRA - AUTOS - CONDUCTOR PROFESIONAL","batch13","ANKCRM38M","sergio.anaya","52","25","0,181","PASSED","UI","[org.openqa.selenium.TimeoutException] Expected condition failed: waiting for element to be clickable: By.xpath: //table//tbody//tr[.//td[contains(normalize-space(.), '599960599229256')]]//button[@title='Editar'] (tried for 30 second(s) with 500 milliseconds interval)
Build info: version: '4.6.0', revision: '79f1c02ae20'
System info: os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_472'
Driver info: net.thucydides.core.webdriver.DevToolsWebDriverFacade","BuscarExpediente.java:74"
"Test Usuario 31 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - VIDRIERO","batch31","ANKCRM38M","sergio.anaya","26","10","0,164","FAILED","Otros","[java.lang.RuntimeException] No se pudo seleccionar 'ZIPAQUIRA' en formio-component-municipio_solicita tras 4 intentos","FillCasoExpressFormInOrder.java:290"
"Reclamaciones - Creacion de caso de reclamacion 60","batch60","ANKCRM38M","sergio.anaya","21","8","0,156","PASSED","","",""
"Test Usuario 33 - NORTE DE SANTANDER - OCAÃ‘A - HOGARES - DESAGUE POR INUNDACION","batch33","ANKCRM38M","sergio.anaya","53","24","0,212","PASSED","","",""
"Reclamaciones - Creacion de caso de reclamacion 72","batch72","ANKCRM38M","sergio.anaya","21","8","0,154","PASSED","","",""
"Reclamaciones - Creacion de caso de reclamacion 54","batch54","ANKCRM38M","sergio.anaya","21","11","0,175","PASSED","","",""
"Test Usuario 39 - AMAZONAS - ARARA - HOGARES - HOSPEDAJE VIAJERO","batch39","ANKCRM38M","sergio.anaya","41","14","0,249","PASSED","Otros","[java.lang.RuntimeException] No fue posible esperar el siguiente estado con until","TransicionarEstadosCaso.java:442"
"Reclamaciones - Creacion de caso de reclamacion 53","batch53","ANKCRM38M","sergio.anaya","21","8","0,158","PASSED","","",""
"Test Usuario 21 - CASANARE - CARIBAYONA - AUTOS - DIAGNOSTICO VEHICULO","batch21","ANKCRM38M","sergio.anaya","53","25","0,214","PASSED","","",""
